state,R_votes,D_votes,EVs
Alabama,815576,549506,9
Alaska,119251,72584,3
Arizona,702541,454029,7
Arkansas,466578,349237,6
California,5054917,4702233,47
Colorado,728177,621453,8
Connecticut,750241,676584,8
Delaware,139639,108647,3
D.C.,27590,159407,3
Florida,2618885,1656701,21
Georgia,1081331,714792,12
Hawaii,158625,192364,4
Idaho,253881,147272,4
Illinois,2310939,2215940,24
Indiana,1297763,860643,12
Iowa,545355,670557,8
Kansas,554049,422636,7
Kentucky,734281,580368,9
Louisiana,883702,734281,10
Maine,307131,243569,4
Maryland,876167,826304,10
Massachusetts,1194644,1401406,13
Michigan,1965486,1675783,20
Minnesota,962337,1109471,10
Mississippi,557890,363921,7
Missouri,1084953,1001619,11
Montana,190412,168936,4
Nebraska,398447,259646,5
Nevada,206040,132738,4
New Hampshire,281537,163696,4
New Jersey,1743192,1320352,16
New Mexico,270341,244497,5
New York,3081871,3347882,36
North Carolina,1237258,890167,13
North Dakota,166559,127739,3
Ohio,2416549,1939629,23
Oklahoma,678367,483423,8
Oregon,560126,616206,7
Pennsylvania,2300087,2194944,25
Rhode Island,177761,225123,4
South Carolina,606443,370554,8
South Dakota,165415,145560,3
Tennessee,947233,679794,11
Texas,3036829,2352748,29
Utah,428442,207343,5
Vermont,124331,115775,3
Virginia,1309162,859799,12
Washington,903835,933516,10
West Virginia,310065,341016,5
Wisconsin,1047499,1126794,11
Wyoming,106867,67113,3
