state,D_votes,R_votes,EVs
Alabama,795696,1255925,9
Alaska,122640,164676,3
Arizona,1025232,1233654,11
Arkansas,394409,647744,6
California,7854285,4839958,55
Colorado,1323101,1185243,9
Connecticut,905083,634892,7
Delaware,242584,165484,3
District of Columbia,267070,21381,3
Florida,4237756,4163447,29
Georgia,1773827,2078688,16
Hawaii,306658,121015,4
Idaho,212787,420911,4
Illinois,3019512,2135216,20
Indiana,1152887,1420543,11
Iowa,822544,730617,6
Kansas,440726,692634,6
Kentucky,679370,1087190,8
Louisiana,809141,1152262,8
Maine★,401306,292276,4
Maryland,1677844,971869,10
Massachusetts,1921290,1188314,11
Michigan,2564569,2115256,16
Minnesota,1546167,1320225,10
Mississippi,562949,710746,6
Missouri,1223796,1482440,10
Montana,201839,267928,3
Nebraska★,302081,475064,5
Nevada,531373,463567,6
New Hampshire,369561,329918,4
New Jersey,2125101,1477568,14
New Mexico,415335,335788,5
New York,4485741,2490431,29
North Carolina,2178391,2270395,15
North Dakota,124827,188163,3
Ohio,2827709,2661437,18
Oklahoma,443547,891325,7
Oregon,970488,754175,7
Pennsylvania,2990274,2680434,20
Rhode Island,279677,157204,4
South Carolina,865941,1071645,9
South Dakota,145039,210610,3
Tennessee,960709,1462330,11
Texas,3308124,4569843,38
Utah,251813,740600,6
Vermont,199239,92698,3
Virginia,1971820,1822522,13
Washington,1755396,1290670,12
West Virginia,238269,417655,5
Wisconsin,1620985,1407966,10
Wyoming,69286,170962,3
