state,D_votes,R_votes,EVs
Alabama,662165,769044,9
Alaska,80380,122746,3
Arizona,653288,622073,8
Arkansas,475171,325416,6
California,5119835,3828380,54
Colorado,671152,691848,8
Connecticut,735740,483109,8
Delaware,140355,99062,3
D.C.,158220,17339,3
Florida,2546870,2244536,25
Georgia,1053849,1080843,13
Hawaii,205012,113943,4
Idaho,165443,256595,4
Illinois,2341744,1587021,22
Indiana,887424,1006693,12
Iowa,620258,492644,7
Kansas,387659,583245,6
Kentucky,636614,623283,8
Louisiana,927837,712586,9
Maine,312788,186378,4
Maryland,966207,681530,10
Massachusetts,1571763,718107,12
Michigan,1989653,1481212,18
Minnesota,1120438,766476,10
Mississippi,394022,439838,7
Missouri,1025935,890016,11
Montana,167922,179652,3
Nebraska,236761,363467,5
Nevada,203974,199244,4
New Hampshire,246214,196532,4
New Jersey,1652329,1103078,15
New Mexico,273495,232751,5
New York,3756177,1933492,33
North Carolina,1107849,1225938,14
North Dakota,106905,125050,3
Ohio,2148222,1859883,21
Oklahoma,488105,582315,8
Oregon,649641,538152,7
Pennsylvania,2215819,1801169,23
Rhode Island,233050,104683,4
South Carolina,504051,573458,8
South Dakota,139333,150543,3
Tennessee,909146,863530,11
Texas,2459683,2736167,32
Utah,221633,361911,5
Vermont,137894,80352,3
Virginia,1091060,1138350,13
Washington,1123323,840712,11
West Virginia,327812,233946,5
Wisconsin,1071971,845029,11
Wyoming,77934,105388,3
