state,R_votes,D_votes,EVs
Alabama,941173,692611,9
Alaska,167398,79004,3
Arizona,781652,685341,8
Arkansas,472940,422768,6
California,4567429,5861203,54
Colorado,883748,738227,8
Connecticut,561094,816015,8
Delaware,137288,180068,3
D.C.,18073,171923,3
Florida,2912790,2912253,25
Georgia,1419720,1116230,13
Hawaii,137845,205286,4
Idaho,336937,138637,4
Illinois,2019421,2589026,22
Indiana,1245836,901980,12
Iowa,634373,638517,7
Kansas,622332,399276,6
Kentucky,872492,638898,8
Louisiana,927871,792344,9
Maine,286616,319951,4
Maryland,813797,1145782,10
Massachusetts,878502,1616487,12
Michigan,1953139,2170418,18
Minnesota,1109659,1168266,10
Mississippi,572844,404614,7
Missouri,1189924,1111138,11
Montana,240178,137126,3
Nebraska,433862,231780,5
Nevada,301575,279978,4
New Hampshire,273559,266348,4
New Jersey,1284173,1788850,15
New Mexico,286417,286783,5
New York,2403374,4107697,33
North Carolina,1631163,1257692,14
North Dakota,174852,95284,3
Ohio,2351209,2186190,21
Oklahoma,744337,474276,8
Oregon,713577,720342,7
Pennsylvania,2281127,2485967,23
Rhode Island,130555,249508,4
South Carolina,785937,565561,8
South Dakota,190700,118804,3
Tennessee,1061949,981720,11
Texas,3799639,2433746,32
Utah,515096,203053,5
Vermont,119775,149022,3
Virginia,1437490,1217290,13
Washington,1108864,1247652,11
West Virginia,336475,295497,5
Wisconsin,1237279,1242987,11
Wyoming,147947,60481,3
