state,D_votes,R_votes,EVs
Alabama,659170,504070,9
Alaska,44058,71555,3
Arizona,295602,418642,6
Arkansas,499614,268753,6
California,3742284,3882244,45
Colorado,460353,584367,7
Connecticut,647895,719261,8
Delaware,122596,109831,3
D.C.,137818,27873,3
Florida,1636000,1469531,17
Georgia,979409,483743,12
Hawaii,147375,140003,4
Idaho,126549,204151,4
Illinois,2271295,2364269,26
Indiana,1014714,1183958,13
Iowa,619931,632863,8
Kansas,430421,502752,7
Kentucky,615717,531852,9
Louisiana,661365,587446,10
Maine,232279,236320,4
Maryland,759612,672661,10
Massachusetts,1429475,1030276,14
Michigan,1696714,1893742,21
Minnesota,1070440,819395,10
Mississippi,381309,366846,7
Missouri,998387,927443,12
Montana,149259,173703,4
Nebraska,233692,359705,5
Nevada,92479,101273,3
New Hampshire,147635,185935,4
New Jersey,1444653,1509688,17
New Mexico,201148,211419,4
New York,3389558,3100791,41
North Carolina,927365,741960,13
North Dakota,136078,153470,3
Ohio,2011621,2000505,25
Oklahoma,532442,545708,8
Oregon,490407,492120,6
Pennsylvania,2328677,2205604,27
Rhode Island,227636,181249,4
South Carolina,450825,346140,8
South Dakota,147068,151505,4
Tennessee,825879,633969,10
Texas,2082319,1953300,26
Utah,182110,337908,4
Vermont,81044,102085,3
Virginia,813896,836554,12
Washington,717323,777732,8
West Virginia,435914,314760,6
Wisconsin,1040232,1004987,11
Wyoming,62239,92717,3
