state,R_votes,D_votes,EVs
Alabama,872849,551899,9
Alaska,138377,62007,3
Arizona,681416,333854,7
Arkansas,534774,338646,6
California,5467009,3922519,47
Colorado,821818,454974,8
Connecticut,890877,569597,8
Delaware,152190,101656,3
D.C.,29009,180408,3
Florida,2730350,1448816,21
Georgia,1068722,706628,12
Hawaii,185050,147154,4
Idaho,297523,108510,4
Illinois,2707103,2086499,24
Indiana,1377230,841481,12
Iowa,703088,605620,8
Kansas,677296,333149,7
Kentucky,822782,539589,9
Louisiana,1037299,651586,10
Maine,336500,214515,4
Maryland,879918,787935,10
Massachusetts,1310936,1239606,13
Michigan,2251571,1529638,20
Minnesota,1032603,1036364,10
Mississippi,581477,352192,7
Missouri,1274188,848583,11
Montana,232450,146742,4
Nebraska,460054,187866,5
Nevada,188770,91655,4
New Hampshire,267051,120395,4
New Jersey,1933630,1261323,16
New Mexico,307101,201769,5
New York,3664763,3119609,36
North Carolina,1346481,824287,13
North Dakota,200336,104429,3
Ohio,2678560,1825440,23
Oklahoma,861530,385080,8
Oregon,685700,536479,7
Pennsylvania,2584323,2228131,25
Rhode Island,212080,197106,4
South Carolina,615539,344470,8
South Dakota,200267,116113,3
Tennessee,990212,711714,11
Texas,3433428,1949276,29
Utah,469105,155369,5
Vermont,135865,95730,3
Virginia,1337078,796250,12
Washington,1051670,807352,10
West Virginia,405483,328125,6
Wisconsin,1198800,995847,11
Wyoming,133241,53370,3
